Rk,Team,GP,W,L,OT,PTS,PTS/GP,ROW,GF,GA,GD
1,Boston Bruins,70,44,14,12,100,1.43,44,227,174,53
2,St. Louis Blues,71,42,19,10,94,1.32,40,225,193,32
3,Colorado Avalanche,70,42,20,8,92,1.31,41,237,191,46
4,Tampa Bay Lightning,70,43,21,6,92,1.31,41,245,195,50
5,Washington Capitals,69,41,20,8,90,1.3,37,240,215,25
6,Philadelphia Flyers,69,41,21,7,89,1.29,36,232,196,36
7,Pittsburgh Penguins,69,40,23,6,86,1.25,37,224,196,28
8,Vegas Golden Knights,71,39,24,8,86,1.21,36,227,211,16
9,Edmonton Oilers,71,37,25,9,83,1.17,35,225,217,8
10,Dallas Stars,69,37,24,8,82,1.19,35,180,177,3
11,Carolina Hurricanes,68,38,25,5,81,1.19,33,222,193,29
12,Toronto Maple Leafs,70,36,25,9,81,1.16,35,238,227,11
13,Columbus Blue Jackets,70,33,22,15,81,1.16,33,180,187,-7
14,New York Islanders,68,35,23,10,80,1.18,32,192,193,-1
15,Winnipeg Jets,71,37,28,6,80,1.13,34,216,203,13
16,New York Rangers,70,37,28,5,79,1.13,36,234,222,12
17,Calgary Flames,70,36,27,7,79,1.13,30,210,215,-5
18,Florida Panthers,69,35,26,8,78,1.13,32,231,228,3
19,Nashville Predators,69,35,26,8,78,1.13,32,215,217,-2
20,Vancouver Canucks,69,36,27,6,78,1.13,32,228,217,11
21,Minnesota Wild,69,35,27,7,77,1.12,33,220,220,0
22,Arizona Coyotes,70,33,29,8,74,1.06,28,195,187,8
23,Chicago Blackhawks,70,32,30,8,72,1.03,28,212,218,-6
24,Montreal Canadiens,71,31,31,9,71,1,27,212,221,-9
25,Buffalo Sabres,69,30,31,8,68,0.99,28,195,217,-22
26,New Jersey Devils,69,28,29,12,68,0.99,24,189,230,-41
27,Anaheim Ducks,71,29,33,9,67,0.94,24,187,226,-39
28,Los Angeles Kings,70,29,35,6,64,0.91,28,178,212,-34
29,San Jose Sharks,70,29,36,5,63,0.9,27,182,226,-44
30,Ottawa Senators,71,25,34,12,62,0.87,24,191,243,-52
31,Detroit Red Wings,71,17,49,5,39,0.55,14,145,267,-122
