Rk,name,Team,Age,GP,GAA,SV%,W,L,GA,SV,SOG,SO,TIME,G,A,P,PIM
1,Juuse Saros,NSH,26,67,2.64,0.918,38,25,173,1934,2107,4,3931,0,0,0,0
2,Connor Hellebuyck,WPG,28,66,2.97,0.91,29,27,193,1962,2155,4,3904,0,2,2,0
3,Thatcher Demko,VAN,26,64,2.72,0.915,33,22,168,1799,1967,1,3701,0,2,2,2
4,Andrei Vasilevski,TBL,27,63,2.49,0.917,39,18,156,1712,1868,2,3761,0,1,1,6
5,Jacob Markstrom,CGY,31,63,2.22,0.922,37,15,137,1617,1754,9,3696,0,3,3,10
6,Elvis Merzlikins,CBJ,27,59,3.22,0.907,27,23,178,1742,1920,2,3320,0,2,2,8
7,Alexander Nedeljkovic,DET,25,59,3.31,0.901,20,24,178,1618,1796,4,3231,0,2,2,2
8,Tristan Jarry,PIT,26,58,2.42,0.919,34,18,138,1573,1711,4,3415,0,2,2,6
9,Darcy Kuemper,COL,31,57,2.54,0.921,37,12,138,1616,1754,5,3259,0,0,0,2
10,Marc-Andre Fleury,MIN,37,56,2.9,0.908,28,23,159,1573,1732,4,3285,0,2,2,2
11,John Gibson,ANA,28,56,3.19,0.904,18,26,172,1617,1789,1,3236,0,1,1,12
12,Philipp Grubauer,SEA,30,55,3.16,0.889,18,31,164,1315,1479,2,3111,0,1,1,0
13,Sergei Bobrovsky,FLA,33,54,2.67,0.913,39,7,137,1429,1566,3,3082,0,0,0,4
14,Igor Shesterkin,NYR,26,53,2.07,0.935,36,13,106,1516,1622,6,3071,0,1,1,2
15,Ilya Sorokin,NYI,26,52,2.4,0.925,26,18,123,1520,1643,7,3072,0,0,0,0
16,Frederik Andersen,CAR,32,52,2.17,0.922,35,14,111,1320,1431,4,3071,0,4,4,0
17,Karel Vejmelka,ARI,25,52,3.68,0.898,13,32,170,1499,1669,1,2773,0,0,0,0
18,Cameron Talbot,MIN,34,49,2.77,0.911,32,12,132,1356,1488,3,2864,0,1,1,2
19,Jack Campbell,TOR,29,49,2.64,0.914,31,9,123,1307,1430,5,2795,0,1,1,0
20,Jake Oettinger,DAL,23,48,2.53,0.914,30,15,114,1217,1331,1,2708,0,2,2,0
21,James Reimer,SJS,33,48,2.9,0.911,19,17,129,1321,1450,1,2673,0,0,0,0
22,Jonathan Quick,LAK,35,46,2.59,0.91,23,13,116,1168,1284,2,2686,0,1,1,6
