playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8480950,2024,Ilya Lyubushkin,TOR,D,other,74,2881,56,5.08,0.37,0.45,0.28,0.51,0.31,0.48,179,1.38,0.24,0.11,0.32,0.07,0.87,0.39,0.23,0.24,0.23,0,0,2,0,0,2,0,0,1,0,0,0,1,0,2,2,0,0,0,1,0,0,1,0,1,0.03,0,0.21,0,0,0,2,2,2,0,0.03,0.46,0.21,0.06,0.06,0.06,56,5,20,8,23,4,17,12,23,0,0,7697,0,2,1,10,22.73,6.02,5.5,6.02,5.5,21,10,6,37,5,3,1,19,2,10,0.77,0.17,5.08,1,0,4,37,31,31,0.38,1.14,1.14,5.26,5.26,4.79,52.18,10.07,7.26,10.07,7.26,46,22,28,96,8,9,1,32,20,16,1.24,2.52,6.31,0,4,4,96,68,68,1.21,2.53,2.53,8.75,8.75,6.64,18,21.61,195,191,0.11,0.02,3,1,3,1
8480950,2024,Ilya Lyubushkin,TOR,D,all,74,76034,1717,4.47,0.36,0.51,0.38,0.51,0.38,0.51,329,52.22,2.71,2.71,14.37,1.96,28.09,23.16,2.62,2.67,2.58,4,4,47,26,34,107,8,0,3,0,8,0,23,39,47,73,22,47,0,176,23,40,66,5,2,1.43,0.67,0.61,0,0,0,105.99,73,71.85,33,0.57,0.7,0.78,2.49,2.48,2.44,1717,145,286,275,1011,177,258,210,1072,0,0,192859,47,23,10,168,524.06,47.65,45.5,47.1,44.99,526,190,234,950,43,47,7,550,118,48,15.64,15.64,16.37,11,19,13,936.45,716,705.42,6.96,10.71,11.07,43.54,43.03,41.94,841.28,84.55,78.29,85.23,78.95,799,351,433,1583,88,97,13,824,229,97,22.6,28.66,33.28,26,34,28,1599.66,1150,1160.77,13.97,19.75,19.75,78.77,79.49,75.39,176.13,171.61,3226,3132,0,0,0,0,0,0
8480950,2024,Ilya Lyubushkin,TOR,D,5on5,74,61758,1389,4.47,0.46,0.51,0.46,0.5,0.46,0.5,343,47.35,2.38,2.4,13.03,1.74,25.86,20.6,2.31,2.34,2.27,4,4,41,25,32,98,8,0,2,0,8,0,21,35,41,66,20,43,0,156,20,36,60,5,1,1.31,0.67,0.4,0,0,0,96.99,66,64.85,29,0.49,0.24,0.57,2.29,2.28,2.25,1389,136,139,245,869,161,192,155,881,0,0,146864,43,15,6,104,478.84,40.07,38.45,39.53,37.94,481,175,223,879,37,44,6,508,112,36,14.44,15.05,10.59,10,19,8,865.45,656,645.43,6.32,9.57,9.93,36.46,35.95,35.34,559.29,47.7,45.81,48.37,46.46,532,234,287,1053,50,61,8,577,135,54,15.94,17.19,14.57,20,19,11,1069.66,766,776.77,7.6,11.57,11.57,43.73,44.45,43.65,107.09,104.8,2302,2303,6.54,0.64,140,11,108,8
8480950,2024,Ilya Lyubushkin,TOR,D,4on5,74,11271,259,3.43,0.05,0.13,0.06,0.12,0.08,0.15,202,2.67,0.07,0.15,0.64,0.12,1.04,1.98,0.07,0.07,0.07,0,0,3,1,1,5,0,0,0,0,0,0,1,3,3,4,2,4,0,19,3,4,4,0,0,0.07,0,0,0,0,0,5,4,4,4,0.03,0,0,0.1,0.1,0.1,259,1,127,22,109,9,48,42,160,0,0,15166,4,0,0,0,21.66,1.54,1.53,1.54,1.53,23,5,2,30,1,0,0,22,4,2,0.41,0.43,0.7,0,0,1,30,28,28,0.24,0,0,1.79,1.79,1.77,228.98,26.72,25.17,26.72,25.17,221,94,117,432,30,27,4,214,74,27,5.36,8.96,12.4,6,11,13,432,315,315,5.15,5.65,5.65,26.21,26.21,25.02,4.28,27.86,68,482,0.11,0,4,0,3,0
8480950,2024,Ilya Lyubushkin,TOR,D,5on4,74,124,13,3.45,1,0.81,0.8,0.85,1,0.84,45,0.83,0.02,0.06,0.38,0.03,0.33,0.19,0.02,0.02,0.02,0,0,1,0,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0.02,0,0,0,0,0,2,1,1,0,0.02,0,0,0.04,0.04,0.04,13,3,0,0,10,3,1,1,8,0,0,3548,0,0,0,6,0.83,0.02,0.02,0.02,0.02,1,0,3,4,0,0,0,1,0,0,0.02,0,0,0,0,0,4,1,1,0.02,0,0,0.04,0.04,0.04,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.03,1.37,106,19,0,0,0,0,0,0
8478438,2024,Tommy Novak,NSH,C,other,71,2378,44,33.84,0.38,0.53,0.68,0.51,0.66,0.51,235,8.81,1.71,0.68,1.68,0.31,5.33,2.3,1.63,1.71,1.63,1,1,9,3,2,14,4,2,0,0,1,0,5,4,7,10,1,2,6,0,3,0,6,2,4,0.3,0.23,1.18,1,0,1,14,12,12,0,0.21,0,0.3,1.63,1.63,1.57,44,14,4,2,24,9,3,16,16,6,4,5745,2,0,0,0,46.22,6.01,5.66,6.01,5.66,44,21,23,88,6,4,0,43,15,7,1.78,1.71,2.53,3,1,2,88,65,65,1.07,1.11,0.92,6.17,6.17,5.87,24,10.01,9.81,10.01,9.81,28,6,7,41,14,1,1,13,4,17,0.55,0.44,9.01,1,2,11,41,34,34,0.32,0.46,0.46,9.87,9.87,9.74,18.75,16.92,133,130,0,0,0,0,0,0
8478438,2024,Tommy Novak,NSH,C,all,71,60495,1254,52.55,0.59,0.49,0.61,0.49,0.61,0.49,508,130.48,13.95,9.89,30.28,4.6,73.28,49.01,13.63,14.07,13.74,13,14,113,68,59,240,45,18,10,0,30,1,66,56,95,163,4,8,211,5,48,25,125,40,16,4.53,4.89,4.52,6,7,5,241.52,181,181.18,5,2.25,1.43,2.19,14.01,14.06,13.88,1254,213,45,149,847,211,164,172,707,211,289,196733,8,28,14,31,677.05,62.69,60.54,63.53,61.34,657,279,357,1293,64,64,6,697,167,72,20.62,20.62,21.46,27,18,19,1305.35,936,944.44,11.08,12.6,12.6,61.18,61.73,60.5,433.2,42.98,41.53,43.16,41.66,436,158,227,821,49,44,2,450,92,52,12.95,11.63,18.4,19,16,14,823.42,594,593.72,5.58,7.93,7.93,40.64,40.72,40.22,171.4,175.65,3236,3389,0,0,0,0,0,0
8478438,2024,Tommy Novak,NSH,C,5on5,71,49483,1029,52.55,0.59,0.51,0.56,0.5,0.56,0.51,522,95.31,9.97,6.83,22.79,3.29,51.53,37.59,9.78,10.09,9.9,10,9,76,56,47,179,29,10,6,0,24,1,48,43,66,122,2,4,181,4,43,21,94,27,11,3.49,3.46,3.01,3,4,3,180.52,132,132.18,5,1.44,0.89,1.62,9.78,9.83,9.76,1029,136,35,139,719,170,145,125,589,181,270,155696,4,26,13,31,490.51,43.56,42.55,44.4,43.35,477,200,270,947,40,46,4,509,121,47,15.34,15.32,12.9,18,14,8,959.35,677,685.44,6.85,8.91,9.11,41.3,41.85,41.31,380.94,30.89,29.7,31.07,29.82,375,147,216,738,33,41,1,407,82,33,11.68,10.26,8.94,18,12,3,740.42,522,521.72,4.94,7.1,7.1,28.73,28.81,28.46,115.26,109.09,2603,2591,1.01,1.53,34,30,27,24
8478438,2024,Tommy Novak,NSH,C,4on5,71,98,16,10.57,0.09,0.12,0.5,0.14,0.5,0.14,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,16,6,2,1,7,0,1,4133,0,0,0,0,0.84,0.01,0.01,0.01,0.01,0,1,0,1,0,0,0,1,0,0,0.01,0,0,0,0,0,1,1,1,0,0,0,0.01,0.01,0.01,0.72,0.05,0.05,0.05,0.05,1,0,0,1,0,0,0,1,0,0,0.05,0,0,0,0,0,1,1,1,0.01,0,0,0.07,0.07,0.07,1.04,7.94,17,101,0,0,0,0,0,0
8478438,2024,Tommy Novak,NSH,C,5on4,71,8536,165,51.09,0.87,0.88,0.87,0.9,0.84,0.86,329,26.36,2.27,2.39,5.81,1,16.42,9.12,2.22,2.27,2.22,2,4,28,9,10,47,12,6,4,0,5,0,13,9,22,31,1,2,24,1,1,4,25,11,1,0.74,1.2,0.33,2,3,1,47,37,37,0,0.6,0.54,0.27,2.6,2.6,2.54,165,63,6,8,88,26,14,30,95,24,0,12342,2,0,0,0,138.68,12.98,12.2,12.98,12.2,136,56,64,256,18,14,2,144,30,18,3.49,3.46,6.03,6,3,9,256,192,192,3.16,2.57,2.57,13.57,13.57,13.18,26.86,1.99,1.92,1.99,1.92,31,5,2,38,2,2,0,28,6,2,0.62,0.92,0.44,0,2,0,38,36,36,0.31,0.36,0.36,1.93,1.93,1.91,23.74,3.1,377,43,0.02,0.04,1,1,1,1
