Rk,Team,GP,W,L,OT,PTS,PTS/GP,ROW,GF,GA,GD
1,Colorado Avalanche,56,39,13,4,82,1.46,39,197,133,64
2,Vegas Golden Knights,56,40,14,2,82,1.46,39,191,124,67
3,Carolina Hurricanes,56,36,12,8,80,1.43,32,179,136,43
4,Florida Panthers,56,37,14,5,79,1.41,36,189,153,36
5,Pittsburgh Penguins,56,37,16,3,77,1.38,34,196,156,40
6,Toronto Maple Leafs,56,35,14,7,77,1.38,34,187,148,39
7,Washington Capitals,56,36,15,5,77,1.38,33,191,163,28
8,Tampa Bay Lightning,56,36,17,3,75,1.34,35,181,147,34
9,Minnesota Wild,56,35,16,5,75,1.34,34,181,160,21
10,Boston Bruins,56,33,16,7,73,1.3,29,168,136,32
11,Edmonton Oilers,56,35,19,2,72,1.29,35,183,154,29
12,New York Islanders,56,32,17,7,71,1.27,28,156,128,28
13,Nashville Predators,56,31,23,2,64,1.14,26,156,154,2
14,Winnipeg Jets,56,30,23,3,63,1.13,30,170,154,16
15,St. Louis Blues,56,27,20,9,63,1.13,25,169,170,-1
16,New York Rangers,56,27,23,6,60,1.07,26,177,157,20
17,Dallas Stars,56,23,19,14,60,1.07,21,158,154,4
18,Montreal Canadiens,56,24,21,11,59,1.05,23,159,168,-9
19,Philadelphia Flyers,56,25,23,8,58,1.04,22,163,201,-38
20,Calgary Flames,56,26,27,3,55,0.98,25,156,161,-5
21,Chicago Blackhawks,56,24,25,7,55,0.98,22,161,186,-25
22,Arizona Coyotes,56,24,26,6,54,0.96,21,153,176,-23
23,Ottawa Senators,56,23,28,5,51,0.91,21,157,190,-33
24,Vancouver Canucks,56,23,29,4,50,0.89,20,151,188,-37
25,Los Angeles Kings,56,21,28,7,49,0.88,20,143,170,-27
26,San Jose Sharks,56,21,28,7,49,0.88,16,151,199,-48
27,Detroit Red Wings,56,19,27,10,48,0.86,17,127,171,-44
28,Columbus Blue Jackets,56,18,26,12,48,0.86,15,137,187,-50
29,New Jersey Devils,56,19,30,7,45,0.8,19,145,194,-49
30,Anaheim Ducks,56,17,30,9,43,0.77,15,126,179,-53
31,Buffalo Sabres,56,15,34,7,37,0.66,11,138,199,-61
