RK,Team,GP,W,L,OT,PTS,PTS/GP,ROW,GF,GA,GD
1,Boston Bruins,82,65,12,5,135,1.65,61,305,177,128
2,Carolina Hurricanes,82,52,21,9,113,1.38,48,266,213,53
3,New Jersey Devils,82,52,22,8,112,1.37,50,291,226,65
4,Toronto Maple Leafs,82,50,21,11,111,1.35,49,279,222,57
5,Vegas Golden Knights,82,51,22,9,111,1.35,46,272,229,43
6,Edmonton Oilers,82,50,23,9,109,1.33,50,325,260,65
7,Colorado Avalanche,82,51,24,7,109,1.33,45,280,226,54
8,Dallas Stars,82,47,21,14,108,1.32,43,285,218,67
9,New York Rangers,82,47,22,13,107,1.3,43,277,219,58
10,Los Angeles Kings,82,47,25,10,104,1.27,41,280,257,23
11,Minnesota Wild,82,46,25,11,103,1.26,39,246,225,21
12,Seattle Kraken,82,46,28,8,100,1.22,46,289,256,33
13,Tampa Bay Lightning,82,46,30,6,98,1.2,43,283,254,29
14,Winnipeg Jets,82,46,33,3,95,1.16,45,247,225,22
15,New York Islanders,82,42,31,9,93,1.13,41,243,222,21
16,Calgary Flames,82,38,27,17,93,1.13,36,260,252,8
17,Florida Panthers,82,42,32,8,92,1.12,40,290,273,17
18,Nashville Predators,82,42,32,8,92,1.12,36,229,238,-9
19,Pittsburgh Penguins,82,40,31,11,91,1.11,39,262,264,-2
20,Buffalo Sabres,82,42,33,7,91,1.11,39,296,300,-4
21,Ottawa Senators,82,39,35,8,86,1.05,37,261,271,-10
22,Vancouver Canucks,82,38,37,7,83,1.01,32,276,298,-22
23,St. Louis Blues,82,37,38,7,81,0.99,34,263,301,-38
24,Detroit Red Wings,82,35,37,10,80,0.98,32,240,279,-39
25,Washington Capitals,82,35,37,10,80,0.98,33,255,265,-10
26,Philadelphia Flyers,82,31,38,13,75,0.91,29,222,277,-55
27,Arizona Coyotes,82,28,40,14,70,0.85,25,228,299,-71
28,Montreal Canadiens,82,31,45,6,68,0.83,26,232,307,-75
29,San Jose Sharks,82,22,44,16,60,0.73,21,234,321,-87
30,Chicago Blackhawks,82,26,49,7,59,0.72,24,204,301,-97
31,Columbus Blue Jackets,82,25,48,9,59,0.72,24,214,330,-116
32,Anaheim Ducks,82,23,47,12,58,0.71,20,209,338,-129
