Rk,name,Team,Age,GP,GAA,SV%,W,L,GA,SV,SOG,SO,TIME,G,A,P,PIM
1,Connor Hellebuyck,WPG,27,45,2.58,0.916,24,17,112,1223,1335,4,2603,0,0,0,0
2,Jacob Markstrom,CGY,30,43,2.66,0.904,22,19,111,1050,1161,3,2508,0,0,0,2
3,Andrei Vasilevski,TBL,26,42,2.21,0.925,31,10,93,1144,1237,5,2524,0,4,4,0
4,Jordan Binnington,STL,27,42,2.65,0.91,18,14,108,1092,1200,0,2448,0,1,1,2
5,Philipp Grubauer,COL,29,40,1.95,0.923,30,9,77,916,993,7,2367,0,2,2,0
6,Tristan Jarry,PIT,25,39,2.75,0.909,25,9,100,1000,1100,2,2185,0,4,4,8
7,Kevin Lankinen,CHI,25,37,3.01,0.91,17,14,109,1095,1204,2,2175,0,2,2,2
8,Vitek Vanecek,WSH,24,37,2.69,0.908,21,10,95,936,1031,2,2115,0,0,0,0
9,Marc-Andre Fleury,VGK,36,36,1.99,0.928,26,10,71,918,989,6,2147,0,1,1,2
10,Semyon Varlamov,NYI,32,36,2.04,0.929,19,11,72,948,1020,7,2117,0,1,1,2
11,Juuse Saros,NSH,25,36,2.28,0.927,21,11,78,995,1073,3,2052,0,0,0,2
12,Mackenzie Blackwood,NJD,24,35,3.04,0.902,14,17,106,975,1081,1,2091,0,0,0,0
13,Thatcher Demko,VAN,25,35,2.85,0.915,16,18,99,1065,1164,1,2087,0,0,0,0
14,John Gibson,ANA,27,35,2.98,0.903,9,19,101,941,1042,3,2031,0,0,0,2
15,Cal Petersen,LAK,26,35,2.89,0.911,9,18,97,998,1095,0,2016,0,1,1,0
16,Igor Shesterkin,NYR,25,35,2.62,0.916,16,14,83,904,987,2,1899,0,0,0,0
17,Martin Jones,SJS,30,34,3.28,0.896,15,13,102,878,980,1,1868,0,0,0,0
18,Thomas Greiss,DET,34,34,2.7,0.912,8,15,79,815,894,2,1755,0,0,0,2
19,Cameron Talbot,MIN,33,33,2.63,0.915,19,8,86,922,1008,2,1961,0,0,0,0
20,Joonas Korpisalo,CBJ,26,33,3.3,0.894,9,13,96,808,904,0,1747,0,1,1,2
21,Mike Smith,EDM,38,32,2.31,0.923,21,6,71,850,921,3,1847,0,2,2,6
22,Anton Khudobin,DAL,34,32,2.54,0.905,12,11,76,723,799,3,1795,0,2,2,2
23,Sergei Bobrovsky,FLA,32,31,2.91,0.906,19,8,88,847,935,0,1816,0,0,0,0
24,Brian Elliott,PHI,35,30,3.06,0.889,15,9,82,656,738,2,1608,0,1,1,0
25,Jake Allen,MTL,30,29,2.68,0.907,11,12,76,741,817,0,1703,0,0,0,2
26,Jake Oettinger,DAL,22,29,2.36,0.911,11,8,63,647,710,1,1604,0,1,1,4
27,Elvis Merzlikins,CBJ,26,28,2.77,0.916,8,12,69,756,825,2,1497,0,1,1,0
28,Darcy Kuemper,ARI,30,27,2.56,0.907,10,11,66,644,710,2,1547,0,0,0,4
29,Carter Hart,PHI,22,27,3.67,0.877,9,11,89,632,721,1,1456,0,0,0,2
30,Matt Murray,OTT,26,27,3.38,0.893,10,13,79,659,738,2,1404,0,1,1,2
31,Mikko Koskinen,EDM,32,26,3.17,0.9,13,13,76,680,756,0,1438,0,2,2,0
32,Carey Price,MTL,33,25,2.64,0.901,12,7,65,594,659,1,1479,0,0,0,0
33,Frederik Andersen,TOR,31,24,2.96,0.895,13,8,70,598,668,0,1420,0,1,1,0
34,Kaapo Kahkonen,MIN,24,24,2.88,0.902,16,8,68,624,692,2,1414,0,0,0,2
35,Tuukka Rask,BOS,33,24,2.28,0.913,15,5,53,558,611,2,1396,0,2,2,0
36,Pekka Rinne,NSH,38,24,2.84,0.907,10,12,62,602,664,2,1310,0,1,1,0
37,Jonathan Bernier,DET,32,24,2.99,0.914,9,11,65,692,757,0,1306,0,0,0,0
38,Alexander Nedeljkovic,CAR,24,23,1.9,0.932,15,5,44,604,648,3,1392,0,1,1,2
39,Chris Driedger,FLA,26,23,2.07,0.927,14,6,47,593,640,3,1362,0,2,2,0
40,James Reimer,CAR,32,22,2.66,0.906,15,5,59,568,627,0,1331,0,0,0,0
41,Jack Campbell,TOR,28,22,2.15,0.921,17,3,46,539,585,2,1284,0,0,0,0
42,Ilya Sorokin,NYI,25,22,2.17,0.918,13,6,46,517,563,3,1272,0,0,0,0
43,Jonathan Quick,LAK,34,22,2.86,0.898,11,9,58,508,566,2,1219,0,0,0,0
44,Devan Dubnyk,COL,34,22,3.2,0.895,6,11,63,539,602,1,1183,0,0,0,2
45,Braden Holtby,VAN,31,21,3.67,0.889,7,11,77,618,695,0,1260,0,1,1,0
46,Casey DeSmith,PIT,29,20,2.54,0.912,11,7,48,495,543,2,1132,0,1,1,0
47,Linus Ullmark,BUF,27,20,2.63,0.917,9,6,49,542,591,0,1117,0,0,0,0
48,Robin Lehner,VGK,29,19,2.29,0.913,13,4,44,461,505,1,1155,0,1,1,0
49,Ilya Samsonov,WSH,23,19,2.69,0.902,13,4,49,450,499,2,1093,0,1,1,0
50,Jaroslav Halak,BOS,35,19,2.53,0.905,9,6,46,436,482,2,1090,0,0,0,0
51,Adin Hill,ARI,24,19,2.74,0.913,9,9,46,484,530,2,1006,0,0,0,0
52,Alexandar Georgiev,NYR,24,19,2.71,0.905,8,7,44,421,465,2,974,0,1,1,0
53,David Rittich,TOR,28,19,2.86,0.901,5,8,46,417,463,1,966,0,0,0,0
54,Ville Husso,STL,25,17,3.21,0.894,9,6,49,411,460,1,917,0,0,0,4
55,Scott Wedgewood,NJD,28,16,3.11,0.9,3,8,46,412,458,2,888,0,0,0,0
56,Malcolm Subban,CHI,27,16,3.2,0.9,6,8,47,424,471,2,881,0,0,0,0
57,Ryan Miller,ANA,40,16,3.51,0.882,4,8,51,381,432,0,871,0,0,0,0
58,Jonas Johansson,COL,25,15,2.86,0.897,5,6,39,341,380,1,817,0,0,0,0
59,Laurent Brossoit,WPG,27,14,2.42,0.919,6,6,30,338,368,1,744,0,0,0,0
60,Marcus Hogberg,OTT,26,14,3.74,0.876,4,7,40,282,322,0,642,0,0,0,0
61,Dustin Tokarski,BUF,31,13,3.54,0.904,2,8,43,404,447,0,729,0,1,1,0
62,Carter Hutton,BUF,35,13,3.47,0.886,1,10,39,302,341,0,675,0,0,0,0
63,Curtis McElhinney,TBL,37,12,3.09,0.875,4,6,37,259,296,1,719,0,0,0,2
64,Antti Raanta,ARI,31,12,3.36,0.905,5,5,38,363,401,0,679,0,0,0,0
65,Petr Mrazek,CAR,28,12,2.06,0.923,6,2,23,275,298,3,671,0,0,0,0
66,Jeremy Swayman,BOS,22,10,1.5,0.945,7,3,15,256,271,2,602,0,0,0,0
67,Josef Korenar,SJS,22,10,3.17,0.899,3,5,26,232,258,0,492,0,0,0,0
68,Keith Kinkaid,NYR,31,9,2.59,0.898,3,2,21,184,205,1,486,0,0,0,0
69,Filip Gustavsson,OTT,22,9,2.16,0.933,5,1,17,237,254,0,472,0,0,0,0
70,Anthony Stolarz,ANA,26,8,2.2,0.926,4,3,17,213,230,1,464,0,1,1,0
71,Anton Forsberg,OTT,28,8,3.21,0.909,3,4,24,240,264,0,449,0,0,0,0
72,Michael Hutchinson,TOR,30,8,2.42,0.919,4,2,17,194,211,1,422,0,0,0,0
73,Joey Daccord,OTT,24,8,3.27,0.897,1,3,22,192,214,0,403,0,0,0,0
74,Aaron Dell,NJD,31,7,4.14,0.857,1,5,22,132,154,0,319,0,0,0,0
75,Collin Delia,CHI,26,6,3.59,0.902,1,3,20,185,205,0,334,0,0,0,0
76,Alex Lyon,PHI,28,6,3.33,0.894,1,3,18,151,169,0,324,0,0,0,0
77,Calvin Pickard,DET,28,6,3.16,0.874,2,1,16,111,127,0,304,0,0,0,0
78,Daniel Vladar,BOS,23,5,3.4,0.886,2,2,17,132,149,0,300,0,0,0,0
79,Hunter Miska,COL,25,5,4.16,0.838,1,1,18,93,111,0,260,0,0,0,0
80,Michael Houser,BUF,28,4,3.46,0.901,2,2,14,127,141,0,243,0,0,0,0
81,Ukko-Pekka Luukkonen,BUF,21,4,3.88,0.906,1,3,14,135,149,0,217,0,0,0,0
82,Spencer Knight,FLA,19,4,2.32,0.919,4,0,8,91,99,0,207,0,0,0,0
83,Cayden Primeau,MTL,21,4,4.16,0.85,1,2,14,79,93,0,202,0,0,0,0
84,Craig Anderson,WSH,39,4,2.13,0.916,2,1,6,65,71,0,169,0,0,0,0
85,Alexei Melnichuk,SJS,22,3,5.05,0.864,0,1,11,70,81,0,131,0,0,0,0
86,Ivan Prosvetov,ARI,21,3,4.15,0.824,0,1,9,42,51,0,130,0,0,0,0
87,Matiss Kivlenieks,CBJ,24,2,3.41,0.901,1,1,7,64,71,0,123,0,0,0,0
88,Troy Grosenick,LAK,31,2,3,0.922,1,1,6,71,77,0,120,0,0,0,0
89,Christopher Gibson,TBL,28,2,2.66,0.875,1,1,5,35,40,0,113,0,0,0,0
90,Oscar Dansk,VGK,26,1,3.91,0.862,1,0,4,25,29,0,61,0,0,0,0
91,Eric Comrie,NJD,25,1,3,0.909,1,0,3,30,33,0,60,0,0,0,0
